Marca temporal      ,El resumen presenta frases coherentes. ,Casi todos los puntos importantes de la noticia están representados. ,Algunas frases del resumen transmiten el mismo significado.
17/10/2022 22:59:21 ,                                     5 ,                                                                   5 ,                                                          3
19/10/2022 19:01:11 ,                                     4 ,                                                                   5 ,                                                          4
19/10/2022 19:08:00 ,                                     4 ,                                                                   4 ,                                                          5
19/10/2022 19:14:28 ,                                     5 ,                                                                   4 ,                                                          5
21/10/2022 20:59:03 ,                                     3 ,                                                                   2 ,                                                          5
23/10/2022 10:44:04 ,                                     5 ,                                                                   3 ,                                                          4
23/10/2022 10:56:31 ,                                     5 ,                                                                   5 ,                                                          5
23/10/2022 11:06:14 ,                                     4 ,                                                                   3 ,                                                          3
23/10/2022 11:20:43 ,                                     5 ,                                                                   4 ,                                                          4
23/10/2022 11:44:18 ,                                     4 ,                                                                   5 ,                                                          4
27/10/2022 16:24:31 ,                                     4 ,                                                                   4 ,                                                          4
27/10/2022 16:26:12 ,                                     3 ,                                                                   2 ,                                                          2
27/10/2022 16:36:03 ,                                     4 ,                                                                   4 ,                                                          5
29/10/2022 16:49:15 ,                                     5 ,                                                                   5 ,                                                          5
29/10/2022 17:58:44 ,                                     5 ,                                                                   5 ,                                                          5
29/10/2022 18:25:22 ,                                     5 ,                                                                   5 ,                                                          5
29/10/2022 19:24:33 ,                                     5 ,                                                                   4 ,                                                          5
29/10/2022 19:40:40 ,                                     5 ,                                                                   5 ,                                                          5
29/10/2022 19:59:12 ,                                     4 ,                                                                   4 ,                                                          4
29/10/2022 19:59:50 ,                                     3 ,                                                                   2 ,                                                          2
30/10/2022 12:44:40 ,                                     4 ,                                                                   3 ,                                                          3
30/10/2022 12:52:48 ,                                     5 ,                                                                   4 ,                                                          2
30/10/2022 12:59:22 ,                                     4 ,                                                                   4 ,                                                          3
30/10/2022 13:09:45 ,                                     5 ,                                                                   3 ,                                                          3
30/10/2022 16:24:21 ,                                     4 ,                                                                   4 ,                                                          1
