Marca temporal      ,El resumen presenta frases coherentes ,Casi todos los puntos importantes de la noticia están representados. ,Algunas frases del resumen transmiten el mismo significado.
17/10/2022 22:58:27 ,                                    5 ,                                                                   5 ,                                                          3
19/10/2022 18:55:05 ,                                    5 ,                                                                   4 ,                                                          3
19/10/2022 19:06:57 ,                                    5 ,                                                                   5 ,                                                          5
19/10/2022 19:13:09 ,                                    5 ,                                                                   3 ,                                                          5
21/10/2022 20:56:43 ,                                    4 ,                                                                   3 ,                                                          5
23/10/2022 10:41:25 ,                                    4 ,                                                                   5 ,                                                          5
23/10/2022 10:55:08 ,                                    5 ,                                                                   2 ,                                                          4
23/10/2022 11:04:43 ,                                    5 ,                                                                   5 ,                                                          4
23/10/2022 11:18:46 ,                                    2 ,                                                                   1 ,                                                          2
23/10/2022 11:43:17 ,                                    4 ,                                                                   4 ,                                                          4
27/10/2022 16:23:47 ,                                    3 ,                                                                   3 ,                                                          3
27/10/2022 16:25:27 ,                                    5 ,                                                                   5 ,                                                          5
27/10/2022 16:33:37 ,                                    1 ,                                                                   1 ,                                                          3
29/10/2022 16:48:12 ,                                    5 ,                                                                   5 ,                                                          5
29/10/2022 17:55:10 ,                                    5 ,                                                                   5 ,                                                          5
29/10/2022 18:23:41 ,                                    5 ,                                                                   5 ,                                                          5
29/10/2022 19:23:33 ,                                    4 ,                                                                   1 ,                                                          4
29/10/2022 19:40:04 ,                                    5 ,                                                                   5 ,                                                          5
29/10/2022 19:58:53 ,                                    5 ,                                                                   5 ,                                                          3
29/10/2022 19:59:32 ,                                    5 ,                                                                   5 ,                                                          5
30/10/2022 12:45:06 ,                                    3 ,                                                                   3 ,                                                          2
30/10/2022 12:51:51 ,                                    4 ,                                                                   2 ,                                                          4
30/10/2022 12:58:00 ,                                    1 ,                                                                   2 ,                                                          2
30/10/2022 13:09:20 ,                                    5 ,                                                                   4 ,                                                          3
30/10/2022 16:23:59 ,                                    4 ,                                                                   2 ,                                                          5
