"","rouge2.precision","rouge2.exhaustividad","rougeL.precision","rougeL.exhaustividad","Resumidor","Idioma"
"1",0.0847,0.6207,0.0962,0.6949,"TextRank","Español"
"2",0.0442,0.2692,0.0755,0.4528,"TextRank","Español"
"3",0.0037,0.1579,0.0137,0.55,"TextRank","Español"
"4",0.1315,0.6875,0.131,0.6735,"TextRank","Español"
"5",0.1033,0.9167,0.1075,0.92,"TextRank","Español"
"6",0.0089,0.25,0.0223,0.6,"TextRank","Español"
"7",0.1797,1,0.1835,1,"TextRank","Español"
"8",0.3425,0.5556,0.2432,0.3913,"TextRank","Español"
"9",0.0323,0.1304,0.0638,0.25,"TextRank","Español"
"10",0.0552,0.3562,0.089,0.5676,"TextRank","Español"
"11",0.0412,0.2,0.0819,0.3889,"TextRank","Español"
"12",0.2324,0.86,0.2473,0.902,"TextRank","Español"
"13",0.1986,0.2417,0.2041,0.2479,"TextRank","Español"
"14",0,0,0.0541,0.0714,"TextRank","Español"
"15",0.0115,0.0769,0.0611,0.4,"TextRank","Español"
"16",0.303,0.25,0.0723,0.5714,"TextRank","Español"
"17",0.0037,0.1579,0.0137,0.55,"TextRank","Español"
"18",0.1984,0.5682,0.2441,0.6889,"TextRank","Español"
"19",0.0725,1,0.0747,1,"TextRank","Español"
"20",0.0386,0.4167,0.059,0.6216,"TextRank","Español"
"21",0.0561,0.6944,0.0649,0.7838,"TextRank","Español"
"22",0.195,0.5962,0.2375,0.717,"TextRank","Español"
"23",0.0295,0.125,0.0882,0.3692,"TextRank","Español"
"24",0.3403,0.8228,0.3646,0.875,"TextRank","Español"
"25",0.2468,0.95,0.2581,0.9756,"TextRank","Español"
"26",0.0561,0.6944,0.0649,0.7838,"TextRank","Español"
"27",0.0504,0.16,0.1088,0.3421,"TextRank","Español"
"28",0.0171,0.1556,0.039,0.3478,"TextRank","Español"
"29",0.0408,0.3704,0.0488,0.4286,"TextRank","Español"
"30",0.102,0.4545,0.12,0.5,"TextRank","Español"
"31",0.0844,0.5862,0.0842,0.5763,"Lsa","Español"
"32",0.0311,0.0962,0.1049,0.3208,"Lsa","Español"
